카테고리	유전질환명	disease
순환기/호흡기계	모세혈관 기형을 동반한 동정맥기형	Capillary malformation-arteriovenous malformation syndrome
순환기/호흡기계	RYR2-연관 카테콜라민 다형성 심실빈맥	RYR2-related catecholarminergic polymophic ventricular tachycardia
순환기/호흡기계	부정맥유발성 우심실 형성이상 9	Arrhythmogenic right ventricular dysplasia 9
순환기/호흡기계	고관절 및 폐형성 저하증을 동반한 하지결손증	Amelia, posterior, with pelvic and pulmonary hypoplasia syndrome
신경근육계	근이영양증	Muscular Dystrophy
신경근육계	척수성 근육위축	Spinal muscular atrophy
신경근육계	근육긴장성 장애	Myotonic dystrophy
신경근육계	샤르코-마리-투스병	Charcot-Marie-Tooth disease
신경근육계	헌팅턴병	Huntington’s disease
신경근육계	케네디병	Kennedy disease
신경근육계	크라베병	Krabbe disease
신경근육계	펠리제우스-메르츠바하병	Pelizaeus-Merzbacher disease
신경근육계	척수 소뇌성 운동실조	Spinocerebellar　ataxia
신경근육계	이염성 백질 이영양증	Metachromatic  Leukodystrophy
신경근육계	세로이드 리포푸신증	Ceroid  lipofuscinosis, Batten disease
신경근육계	X연관 수두증	X-linked hydrocephalus
신경근육계	아동기 저수초형성 운동실조	Childhood ataxia with central nervous system hypomyelination
신경근육계	프리드라이히 운동실조	Friedreich's ataxia
신경근육계	글리신 뇌병증	Glycine  encephalopathy
신경근육계	뇌실주위 결절성 이소증	Periventricular nodular heterotopia
신경근육계	저칼륨성 주기성 마비	Hypokalemic periodic paralysis
신경근육계	발달 및 뇌전증 뇌병증	Developmental and epileptic encephalopathy
신경근육계	여린 X 증후군 	Fragile X syndrome
신경근육계	유전성 강직성 하반신마비	Hereditary  spastic paraplegia
신경근육계	유전감각신경병4형	Hereditary sensory  and autonomic neuropathy IV
신경근육계	급성 괴사성 뇌증	Acute Necrotizing  Encephalopathy
신경근육계	치상핵적핵담창구시상하핵위축증	Dentatorubropallidoluysian  atrophy
신경근육계	5형 소두증	microcephaly 5, primary, autosomal recessive
신경근육계	피질하 낭종을 동반한 거대뇌성  백질뇌병증	Megalencephalic  Leukoencephalopathy with Subcortical Cysts
신경근육계	선천성 근육병	Congenital myopathy
신경근육계	X연관발달지연정신지체 증후군12번	Intellectual developmental disorder, X-linked12
